yearend_rank,song_title,artist_name,total_rank_score,weeks_in_top_50,best_rank,average_rank
1,Die With A Smile,Lady Gaga & Bruno Mars,1828,41,1,6.41
2,Ordinary,Alex Warren,1820,40,1,5.5
3,A Bar Song (Tipsy),Shaboozey,1748,40,2,7.3
4,Lose Control,Teddy Swims,1745,41,4,8.44
5,Luther,Kendrick Lamar & SZA,1710,41,1,9.29
6,Beautiful Things,Benson Boone,1541,41,8,13.41
7,Pink Pony Club,Chappell Roan,1377,39,4,15.69
8,I'm The Problem,Morgan Wallen,1369,36,2,12.97
9,Mutt,Leon Thomas,1340,38,6,15.74
10,Birds Of A Feather,Billie Eilish,1340,35,3,12.71
11,I Had Some Help,Post Malone Featuring Morgan Wallen,1190,34,8,16.0
12,Just In Case,Morgan Wallen,1187,29,2,10.07
13,What I Want,Morgan Wallen Featuring Tate McRae,1184,27,1,7.15
14,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1138,24,1,3.58
15,APT.,ROSE & Bruno Mars,1094,35,3,19.74
16,Love Somebody,Morgan Wallen,982,35,10,22.94
17,I Got Better,Morgan Wallen,968,28,7,16.43
18,Love Me Not,Ravyn Lenae,955,28,5,16.89
19,Espresso,Sabrina Carpenter,948,28,9,17.14
20,Nokia,Drake,947,27,2,15.93
21,Manchild,Sabrina Carpenter,943,25,1,13.28
22,Daisies,Justin Bieber,901,22,2,10.05
23,That's So True,Gracie Abrams,861,28,6,20.25
24,30 For 30,SZA With Kendrick Lamar,844,35,10,26.89
25,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",817,22,4,13.86
26,TV Off,Kendrick Lamar Featuring Lefty Gunplay,787,26,3,20.73
27,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",754,22,3,16.73
28,All The Way,BigXthaPlug Featuring Bailey Zimmerman,723,27,4,24.22
29,Timeless,The Weeknd & Playboi Carti,718,28,7,25.36
30,Back To Friends,sombr,705,32,10,28.97
31,Not Like Us,Kendrick Lamar,704,20,1,15.8
32,Messy,Lola Young,693,28,14,26.25
33,Anxiety,Doechii,673,20,9,17.35
34,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",640,21,8,20.52
35,Squabble Up,Kendrick Lamar,622,24,5,25.08
36,Good News,Shaboozey,596,28,12,29.71
37,Mystical Magical,Benson Boone,560,26,17,29.46
38,Sorry I'm Here For Someone Else,Benson Boone,527,30,19,33.43
39,Taste,Sabrina Carpenter,524,20,10,24.8
40,Man I Need,Olivia Dean,514,14,4,14.29
41,Folded,Kehlani,501,19,7,24.63
42,The Fate Of Ophelia,Taylor Swift,489,10,1,2.1
43,Undressed,sombr,488,23,16,29.78
44,Sports Car,Tate McRae,482,22,16,29.09
45,Blue Strips,Jessie Murph,473,21,15,28.48
46,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",452,20,15,28.4
47,Stargazing,Myles Smith,445,20,19,28.75
48,Opalite,Taylor Swift,418,10,2,9.2
49,Worst Way,Riley Green,403,28,20,36.61
50,Tears,Sabrina Carpenter,403,13,3,20.0
