week_date,rank,song_title,artist_name,weeks_on_chart,peak_rank,previous_week_rank
2025-01-07,1,Die With A Smile,Lady Gaga & Bruno Mars,20,1,17
2025-01-07,2,A Bar Song (Tipsy),Shaboozey,38,1,24
2025-01-07,3,Birds Of A Feather,Billie Eilish,33,2,28
2025-01-07,4,Lose Control,Teddy Swims,72,1,0
2025-01-07,5,APT.,ROSE & Bruno Mars,11,5,34
2025-01-07,6,That's So True,Gracie Abrams,11,6,33
2025-01-07,7,Luther,Kendrick Lamar & SZA,6,3,27
2025-01-07,8,I Had Some Help,Post Malone Featuring Morgan Wallen,34,1,47
2025-01-07,9,Espresso,Sabrina Carpenter,38,3,46
2025-01-07,10,Taste,Sabrina Carpenter,19,2,41
2025-01-07,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,6,2,32
2025-01-07,12,Beautiful Things,Benson Boone,49,2,0
2025-01-07,13,Love Somebody,Morgan Wallen,11,1,53
2025-01-07,14,Too Sweet,Hozier,40,1,0
2025-01-07,15,Timeless,The Weeknd & Playboi Carti,14,3,51
2025-01-07,16,Squabble Up,Kendrick Lamar,6,1,44
2025-01-07,17,"Good Luck, Babe!",Chappell Roan,38,4,0
2025-01-07,18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",10,10,52
2025-01-07,19,Stargazing,Myles Smith,33,19,0
2025-01-07,20,Not Like Us,Kendrick Lamar,34,1,0
2025-01-07,21,Whatchu Kno About Me,GloRilla & Sexyy Red,12,17,54
2025-01-07,22,30 For 30,SZA With Kendrick Lamar,2,22,45
2025-01-07,23,High Road,Koe Wetzel & Jessie Murph,30,22,57
2025-01-07,24,Who,Jimin,23,12,0
2025-01-07,25,Messy,Lola Young,5,25,61
2025-01-07,26,Please Please Please,Sabrina Carpenter,28,1,0
2025-01-07,27,Smile,Morgan Wallen,1,27,0
2025-01-07,28,I Am Not Okay,Jelly Roll,28,14,0
2025-01-07,29,BMF,SZA,2,29,55
2025-01-07,30,Million Dollar Baby,Tommy Richman,32,2,0
2025-01-07,31,Wind Up Missin' You,Tucker Wetmore,40,31,65
2025-01-07,32,Bed Chem,Sabrina Carpenter,19,14,60
2025-01-07,33,Sailor Song,Gigi Perez,20,22,58
2025-01-07,34,Lies Lies Lies,Morgan Wallen,22,7,0
2025-01-07,35,Wildflower,Billie Eilish,29,17,0
2025-01-07,36,Pink Pony Club,Chappell Roan,29,26,67
2025-01-07,37,Like Him,"Tyler, The Creator Featuring Lola Young",10,29,66
2025-01-07,38,I Never Lie,Zach Top,15,38,72
2025-01-07,39,Liar,Jelly Roll,14,39,84
2025-01-07,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood,14,40,87
2025-01-07,41,Scorsese Baby Daddy,SZA,2,41,63
2025-01-07,42,Tu Boda,Oscar Maydon & Fuerza Regida,11,22,68
2025-01-07,43,"I Love You, I'm Sorry",Gracie Abrams,21,19,0
2025-01-07,44,It's Ok I'm Ok,Tate McRae,16,20,76
2025-01-07,45,4x4xU,Lainey Wilson,8,45,94
2025-01-07,46,No One Noticed,The Marias,14,22,74
2025-01-07,47,Good News,Shaboozey,6,47,95
2025-01-07,48,Indigo,Sam Barber Featuring Avery Anna,4,48,77
2025-01-07,49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,6,44,75
2025-01-07,50,Loco,Neton Vega,1,50,0
2025-01-14,1,Die With A Smile,Lady Gaga & Bruno Mars,21,1,1
2025-01-14,2,A Bar Song (Tipsy),Shaboozey,39,1,2
2025-01-14,3,Birds Of A Feather,Billie Eilish,34,2,3
2025-01-14,4,Smile,Morgan Wallen,2,4,27
2025-01-14,5,APT.,ROSE & Bruno Mars,12,5,5
2025-01-14,6,Lose Control,Teddy Swims,73,1,4
2025-01-14,7,Luther,Kendrick Lamar & SZA,7,3,7
2025-01-14,8,That's So True,Gracie Abrams,12,6,6
2025-01-14,9,I Had Some Help,Post Malone Featuring Morgan Wallen,35,1,8
2025-01-14,10,Espresso,Sabrina Carpenter,39,3,9
2025-01-14,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,7,2,11
2025-01-14,12,Taste,Sabrina Carpenter,20,2,10
2025-01-14,13,Love Somebody,Morgan Wallen,12,1,13
2025-01-14,14,Beautiful Things,Benson Boone,50,2,12
2025-01-14,15,Timeless,The Weeknd & Playboi Carti,15,3,15
2025-01-14,16,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",1,16,0
2025-01-14,17,Too Sweet,Hozier,41,1,14
2025-01-14,18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",11,10,18
2025-01-14,19,Squabble Up,Kendrick Lamar,7,1,16
2025-01-14,20,Stargazing,Myles Smith,34,19,19
2025-01-14,21,"Good Luck, Babe!",Chappell Roan,39,4,17
2025-01-14,22,30 For 30,SZA With Kendrick Lamar,3,22,22
2025-01-14,23,Not Like Us,Kendrick Lamar,35,1,20
2025-01-14,24,Messy,Lola Young,6,24,25
2025-01-14,25,High Road,Koe Wetzel & Jessie Murph,31,22,23
2025-01-14,26,Whatchu Kno About Me,GloRilla & Sexyy Red,13,17,21
2025-01-14,27,Nuevayol,Bad Bunny,1,27,0
2025-01-14,28,Baile Inolvidable,Bad Bunny,1,28,0
2025-01-14,29,Tweaker,GELO,1,29,0
2025-01-14,30,Sailor Song,Gigi Perez,21,22,33
2025-01-14,31,Wind Up Missin' You,Tucker Wetmore,41,31,31
2025-01-14,32,Please Please Please,Sabrina Carpenter,29,1,26
2025-01-14,33,I Am Not Okay,Jelly Roll,29,14,28
2025-01-14,34,BMF,SZA,3,29,29
2025-01-14,35,Bed Chem,Sabrina Carpenter,20,14,32
2025-01-14,36,Voy A Llevarte Pa PR,Bad Bunny,1,36,0
2025-01-14,37,El Club,Bad Bunny,3,37,89
2025-01-14,38,DTMF,Bad Bunny,1,38,0
2025-01-14,39,Who,Jimin,24,12,24
2025-01-14,40,Million Dollar Baby,Tommy Richman,33,2,30
2025-01-14,41,Wildflower,Billie Eilish,30,17,35
